Business Unit,Operating Unit,Account,Product,Sub-Product,Book Code,Affliate,Project ID,Class,Currency,Amount,ADB Date,Accounting Date,Trade Ref,Narrative,Operating Unit Affliate,Acctg Reason Code,Relation ID,Reversal,IntraDay,Source, Trade Group ID,Client Code,Client Name,Doc Seq Number
CN003,AS00B13E,4200050000,LOAN,   ,B,   ,   ,   ,USD,173.65,04/03/2019,04/03/2019,MCHLE853039,LE853039_20190403_365,   ,GL,  ,   ,N,MID, , , ,1
CN003,AS00B11E,4250200000,SPOT,   ,B,   ,   ,   ,USD,-173.65,04/03/2019,04/03/2019,MCHLE853039,LE853039_20190403_365,   ,GL,  ,   ,N,MID, , , ,2
CN003,AS00B11E,4250200000,SPOT,   ,B,   ,   ,   ,RMB,1166.85,04/03/2019,04/03/2019,MCHLE853039,LE853039_20190403_365,   ,GL,  ,   ,N,MID, , , ,3
CN003,AS00B11E,2650050000,,   ,B,   ,   ,   ,RMB,-1166.85,04/03/2019,04/03/2019,MCHLE853039,LE853039_20190403_365,   ,GL,  ,   ,N,MID, , , ,4
CN003,AS00B13E,4200050000,LOAN,   ,B,   ,   ,   ,USD,196.79,04/03/2019,04/03/2019,MCHLE853208,LE853208_20190403_366,   ,GL,  ,   ,N,MID, , , ,5
CN003,AS00B11E,4250200000,SPOT,   ,B,   ,   ,   ,USD,-196.79,04/03/2019,04/03/2019,MCHLE853208,LE853208_20190403_366,   ,GL,  ,   ,N,MID, , , ,6
CN003,AS00B11E,4250200000,SPOT,   ,B,   ,   ,   ,RMB,1322.29,04/03/2019,04/03/2019,MCHLE853208,LE853208_20190403_366,   ,GL,  ,   ,N,MID, , , ,7
CN003,AS00B11E,2650050000,,   ,B,   ,   ,   ,RMB,-1322.29,04/03/2019,04/03/2019,MCHLE853208,LE853208_20190403_366,   ,GL,  ,   ,N,MID, , , ,8
CN003,AS00B13E,4200050000,LOAN,   ,B,   ,   ,   ,USD,149.03,04/03/2019,04/03/2019,MCHLE853262,LE853262_20190403_367,   ,GL,  ,   ,N,MID, , , ,9
CN003,AS00B11E,4250200000,SPOT,   ,B,   ,   ,   ,USD,-149.03,04/03/2019,04/03/2019,MCHLE853262,LE853262_20190403_367,   ,GL,  ,   ,N,MID, , , ,10
CN003,AS00B11E,4250200000,SPOT,   ,B,   ,   ,   ,RMB,1001.42,04/03/2019,04/03/2019,MCHLE853262,LE853262_20190403_367,   ,GL,  ,   ,N,MID, , , ,11
CN003,AS00B11E,2650050000,,   ,B,   ,   ,   ,RMB,-1001.42,04/03/2019,04/03/2019,MCHLE853262,LE853262_20190403_367,   ,GL,  ,   ,N,MID, , , ,12
CN003,AS00B13E,4200050000,LOAN,   ,B,   ,   ,   ,USD,70.89,04/03/2019,04/03/2019,MCHLE800689,LE800689_20190403_368,   ,GL,  ,   ,N,MID, , , ,13
CN003,AS00B11E,4250200000,SPOT,   ,B,   ,   ,   ,USD,-70.89,04/03/2019,04/03/2019,MCHLE800689,LE800689_20190403_368,   ,GL,  ,   ,N,MID, , , ,14
CN003,AS00B11E,4250200000,SPOT,   ,B,   ,   ,   ,RMB,476.32,04/03/2019,04/03/2019,MCHLE800689,LE800689_20190403_368,   ,GL,  ,   ,N,MID, , , ,15
CN003,AS00B11E,2650050000,,   ,B,   ,   ,   ,RMB,-476.32,04/03/2019,04/03/2019,MCHLE800689,LE800689_20190403_368,   ,GL,  ,   ,N,MID, , , ,16
CN003,AS00B13E,4200050000,LOAN,   ,B,   ,   ,   ,USD,99.17,04/03/2019,04/03/2019,MCHLE800691,LE800691_20190403_369,   ,GL,  ,   ,N,MID, , , ,17
